ANNO,ASL,PROVINCIA,COD_ENTE,COD_STRUTTURA,COD_SUB,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,PUBBL_PRIV,COD_DISCIPLINA,DESCR_DISCIPLINA,AREA,TIPO_DEGENZA,MESI_DEG_ORD,MEDIA_LETTI_DEG_ORD,Posti_letto_ORD_attivati_al_31_12,MESI_DH,MEDIA_LETTI_DH_DS,Posti_letto_DH_DS_attivati_al_31_12
2020,325,BG,325,030144,,CASA DI CURA BEATO PALAZZOLO - BERGAMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,43,UROLOGIA,Area chirurgica,Acuti,10,5,6,12,2,2
2020,321,MI,321,030100,,CASA DI CURA IGEA - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,49,TERAPIA INTENSIVA,Area medica,Acuti,6,4,4,0,0,0
2020,321,MI,701,030913,,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,30,NEUROCHIRURGIA,Area chirurgica,Acuti,12,31.5,38,0,0,0
2020,326,BS,723,030184,,OSPEDALE DI MANERBIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,12,18.33,34,10,2,2
2020,326,BS,326,030295,,FONDAZIONE POLIAMBULANZA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,12,64.17,66,0,0,0
2020,322,VA,710,030901,01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,64,ONCOLOGIA,Area medica,Acuti,12,13.25,12,12,5,5
2020,324,LC,324,030034,,CASA DI CURA G.B. MANGIONI - LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,64,ONCOLOGIA,Area medica,Acuti,7,6,0,0,0,0
2020,328,PV,939,030939,,FOND.IST.NEUROL.C.MONDINO-PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,33,NEUROPSICHIATRIA INFANTILE,Area medica,Acuti,12,20,20,12,2,2
2020,328,PV,727,030190,,OSPEDALE CARLO MIRA-CASORATE PRIMO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,40,PSICHIATRIA,Area medica,Acuti,12,18,18,0,0,0
2020,322,VA,710,030010,,OSPEDALE GALMARINI - TRADATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,34,OCULISTICA,Area chirurgica,Acuti,4,1,0,12,1,1
2020,322,CO,712,030022,,OSPEDALE S. ANTONIO ABATE - CANTU',12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,9,7.89,10,0,0,0
2020,322,VA,322,030017,,CASA DI CURA MATER DOMINI - CASTELLANZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,12,17.58,30,0,0,0
2020,321,MI,321,030116,,CLINICA POLISPECIALISTICA SAN CARLO - s.r.l.,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,12,12.75,19,0,0,0
2020,326,BS,721,030167,,OSPEDALE DEI BAMBINI - BRESCIA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,73,TERAPIA INTENSIVA NEONATALE,Area medica,Acuti,12,15,15,0,0,0
2020,321,LO,709,030079,,OSPEDALE CIVICO - CODOGNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,12,14,14,12,1,1
2020,328,PV,924,030924,,POLICLINICO S. MATTEO - PAVIA,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,pubb,13,CHIRURGIA TORACICA,Area chirurgica,Acuti,12,4.67,4,0,0,0
2020,322,VA,711,030008,,OSP. GENERALE PROVINCIALE - SARONNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,64,ONCOLOGIA,Area medica,Acuti,3,14,0,0,0,0
2020,328,PV,938,030938,,IRCCS CENTRO MEDICO DI PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,29,NEFROLOGIA,Area medica,Acuti,12,9.67,12,0,0,0
2020,327,CR,327,030219,,CASA DI CURA FIGLIE DI S.CAMILLO-CR,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,12,34.25,35,7,1,1
2020,328,PV,727,030203,,OSPEDALE ASILO VITTORIA - MORTARA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,0,0,0,0,0,1
2020,325,BG,325,030379,,HABILITA IST.CLINICO-OSP.LE DI SARNICO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,60,LUNGODEGENTI,Area medica,Lung,8,25,25,0,0,0
2020,326,BS,326,030178,,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,32,NEUROLOGIA,Area medica,Acuti,12,15.42,16,12,1,1
2020,324,MB,717,030070,,PRESIDIO OSPEDALIERO DI CARATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,5,4,5,0,0,0
2020,325,BG,719,030131,,OSPEDALE DI TREVIGLIO E CARAVAGGIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,11,22.72,54,0,0,0
2020,323,SO,713,030904,,OSPEDALE MORELLI - SONDALO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,10,9.8,0,8,1.13,0
2020,321,LO,709,030067,,OSPEDALE MAGGIORE DI LODI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,12,13.25,16,0,0,0
2020,324,MB,716,030909,,OSPEDALE S.GERARDO - MONZA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,18,EMATOLOGIA,Area medica,Acuti,12,25.92,26,11,1.64,3
2020,326,BS,326,030175,,CASA DI CURA S. CAMILLO - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,34,OCULISTICA,Area chirurgica,Acuti,0,0,5,12,4,4
2020,321,MI,943,030943,,IST. CLIN. HUMANITAS - ROZZANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,32,NEUROLOGIA,Area medica,Acuti,12,22,17,0,0,0
2020,321,MI,703,030910,,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,08,CARDIOLOGIA,Area medica,Acuti,11,10.55,34,0,0,0
2020,321,MI,321,030116,,CLINICA POLISPECIALISTICA SAN CARLO - s.r.l.,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,02,DAY HOSPITAL,Area medica,Acuti,0,0,0,12,4,4
2020,322,VA,710,030901,01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,12,CHIRURGIA PLASTICA,Area chirurgica,Acuti,12,2.5,2,0,0,0
2020,326,BS,326,030275,,ISTITUTO CLINICO S. ROCCO S.P.A. - OME,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,20,IMMUNOLOGIA,Area medica,Acuti,0,0,,0,0,
2020,321,MI,321,030097,,ISTITUTO CLINICO CITTA' STUDI - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,30,NEUROCHIRURGIA,Area chirurgica,Acuti,12,6.92,10,0,0,0
2020,325,BG,325,030350,,OSPEDALE S.ISIDORO - TRESCORE B.,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,12,57,57,12,1,0
2020,321,MI,706,030066,,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,32,NEUROLOGIA,Area medica,Acuti,11,14.91,25,0,0,0
2020,321,MI,708,030085,01,OSPEDALE UBOLDO - CERNUSCO S/NAVIGLIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,29,NEFROLOGIA,Area medica,Acuti,12,7.17,7,12,1,1
2020,322,VA,710,030901,01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,51,ASTANTERIA,Area medica,Acuti,0,0,0,0,0,0
2020,321,MI,705,030281,01,OSPEDALE CIVILE DI LEGNANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,38,OTORINOLARINGOIATRIA,Area chirurgica,Acuti,12,10.92,22,0,0,0
2020,321,MI,703,030056,,PRESIDIO OSPED. V. BUZZI - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,12,6.84,7,5,1,1
2020,324,MB,324,030106,,CASA DI CURA POLICLINICO - MONZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,12,CHIRURGIA PLASTICA,Area chirurgica,Acuti,9,4,0,12,1,0
2020,326,BS,326,030178,,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,49,TERAPIA INTENSIVA,Area medica,Acuti,12,4.92,1,0,0,0
2020,321,MI,702,030914,,OSPEDALE S. PAOLO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,12,28.33,35,12,8.92,9
2020,322,VA,711,030006,,OSP. S. ANTONIO ABATE - GALLARATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,08,CARDIOLOGIA,Area medica,Acuti,12,12.42,0,0,0,0
2020,327,CR,724,030273,,OSPEDALE OGLIO PO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,40,PSICHIATRIA,Area medica,Acuti,12,10,10,0,0,0
2020,326,BS,723,030157,,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,9,30.22,118,7,1,1
2020,321,MI,934,030934,,"CENTRO CARDIOLOGICO ""FOND. MONZINO"" - MILANO",32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,07,CARDIOCHIRURGIA,Area chirurgica,Acuti,12,29.67,0,0,0,0
2020,322,VA,710,030010,,OSPEDALE GALMARINI - TRADATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,12,12,18,12,2,2
2020,327,CR,726,030209,,OSPEDALE MAGGIORE - CREMA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,9,57,69,0,0,0
2020,325,BG,325,030147,,POLICLINICO SAN MARCO - OSIO SOTTO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,26,MEDICINA GENERALE,Area medica,Acuti,12,39.17,43,12,5,5
2020,321,MI,943,030943,,IST. CLIN. HUMANITAS - ROZZANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,10,119,50,0,0,0
2020,326,BS,326,030368,,C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,60,LUNGODEGENTI,Area medica,Lung,12,10,10,0,0,0
2020,321,MI,946,030946,02,IST.CLINICO S.SIRO SPA-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,8,1,1,7,1,1
2020,326,BS,721,030162,,PRESIDIO OSPEDALIERO GARDONE V.T.,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,2,4,0,0,0,0
2020,321,MI,702,030915,,OSPEDALE S. CARLO BORROMEO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,12,11.67,0,0,0,0
2020,327,CR,724,030908,,OSPEDALE DI CREMONA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,33,NEUROPSICHIATRIA INFANTILE,Area medica,Acuti,0,0,0,12,1,1
2020,325,BG,325,030143,,HUMANITAS GAVAZZENI,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,02,DAY HOSPITAL,Area medica,Acuti,0,0,0,12,1,1
2020,321,MI,946,030946,02,IST.CLINICO S.SIRO SPA-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,34,OCULISTICA,Area chirurgica,Acuti,8,1,1,10,1.7,2
2020,321,MI,321,030367,,OSPEDALE S. GIUSEPPE - MILANO,4,OSPEDALE CLASSIFICATO,priv,34,OCULISTICA,Area chirurgica,Acuti,12,2,2,0,0,0
2020,327,CR,327,030219,,CASA DI CURA FIGLIE DI S.CAMILLO-CR,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,11,12.82,15,11,2,2
2020,322,VA,711,030006,,OSP. S. ANTONIO ABATE - GALLARATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,38,OTORINOLARINGOIATRIA,Area chirurgica,Acuti,0,0,0,5,2.8,0
2020,328,PV,727,030194,,OSPEDALE CIVILE - VOGHERA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,12,20,20,12,2,2
2020,323,CO,323,030031,,OSP. MORIGGIA PELASCINI - GRAVEDONA,4,OSPEDALE CLASSIFICATO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,11,34,49,0,0,0
2020,328,PV,727,030194,,OSPEDALE CIVILE - VOGHERA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,34,OCULISTICA,Area chirurgica,Acuti,12,1.17,2,7,1,1
2020,322,VA,710,030282,01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,40,PSICHIATRIA,Area medica,Acuti,12,12.83,13,12,4,4
2020,321,MI,943,030943,,IST. CLIN. HUMANITAS - ROZZANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,34,OCULISTICA,Area chirurgica,Acuti,12,1,1,0,0,0
2020,328,PV,924,030924,,POLICLINICO S. MATTEO - PAVIA,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,pubb,73,TERAPIA INTENSIVA NEONATALE,Area medica,Acuti,12,8.5,10,0,0,0
2020,328,PV,727,030191,,OSPEDALE S.MARTINO - MEDE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,12,14.33,16,0,0,0
2020,326,BS,326,030175,,CASA DI CURA S. CAMILLO - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,12,15.17,16,12,1,1
2020,321,MI,948,030948,,IRCCS MULTIMEDICA - MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,43,UROLOGIA,Area chirurgica,Acuti,0,0,0,0,0,0
2020,325,BG,719,030131,,OSPEDALE DI TREVIGLIO E CARAVAGGIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,8,12.76,14,0,0,0
2020,324,MB,717,030078,,PRESIDIO OSPEDALIERO DI VIMERCATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,12,39.83,46,12,3,3
2020,326,BS,721,030906,,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,50,UNITA' CORONARICA,Area medica,Acuti,12,9.75,12,0,0,0
2020,321,MI,321,030100,,CASA DI CURA IGEA - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,4,31.5,19,0,0,0
2020,326,BS,326,030295,,FONDAZIONE POLIAMBULANZA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,62,NEONATOLOGIA,Area medica,Acuti,12,14,14,0,0,0
2020,321,MI,925,030925,,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,pubb,38,OTORINOLARINGOIATRIA,Area chirurgica,Acuti,12,10.33,20,12,1.17,2
2020,326,BS,326,030178,,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,12,21,24,12,3,3
2020,322,VA,711,030006,,OSP. S. ANTONIO ABATE - GALLARATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,12,22.67,0,5,2.4,0
2020,327,CR,327,030219,,CASA DI CURA FIGLIE DI S.CAMILLO-CR,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,34,OCULISTICA,Area chirurgica,Acuti,0,0,3,11,2,2
2020,322,CO,712,030022,,OSPEDALE S. ANTONIO ABATE - CANTU',12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,39,PEDIATRIA,Area medica,Acuti,11,12,14,11,1,1
2020,325,BG,325,030145,,HUMANITAS CASTELLI,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,34,OCULISTICA,Area chirurgica,Acuti,0,0,2,0,0,0
2020,321,MI,708,030072,01,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,12,32.83,83,12,2,2
2020,322,VA,711,030004,,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,18,EMATOLOGIA,Area medica,Acuti,12,12.25,0,0,0,0
2020,321,MI,708,030072,01,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,40,PSICHIATRIA,Area medica,Acuti,12,14.25,15,0,0,0
2020,323,BS,714,030274,01,OSPEDALE VALCAMONICA - ESINE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,34,OCULISTICA,Area chirurgica,Acuti,12,1,1,11,1,1
2020,321,MI,925,030925,,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,pubb,43,UROLOGIA,Area chirurgica,Acuti,12,15.83,20,12,1.92,2
2020,327,CR,327,030217,,CASA DI CURA ANCELLE DELLA CARITA'-CR,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,2,7,,0,0,
2020,325,BG,325,030350,,OSPEDALE S.ISIDORO - TRESCORE B.,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,5,20.6,3,0,0,0
2020,324,LC,324,030034,,CASA DI CURA G.B. MANGIONI - LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,09,CHIRURGIA GENERALE,Area chirurgica,Acuti,9,18,0,11,30.45,0
